time(s);category;event;details
49740;COMM;STATE_CHANGE;Re/Tr->Receiver
49740;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#63
49750;COMM;STATE_CHANGE;Receiver->Re/Tr
49760;COMM;STATE_CHANGE;Re/Tr->Receiver
49760;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#64
49770;COMM;STATE_CHANGE;Receiver->Re/Tr
49780;COMM;STATE_CHANGE;Re/Tr->Receiver
49780;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#65
49790;COMM;STATE_CHANGE;Receiver->Re/Tr
49800;COMM;STATE_CHANGE;Re/Tr->Receiver
49800;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#66
49810;COMM;STATE_CHANGE;Receiver->Re/Tr
49820;COMM;STATE_CHANGE;Re/Tr->Receiver
49820;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#67
49830;COMM;STATE_CHANGE;Receiver->Re/Tr
49840;COMM;STATE_CHANGE;Re/Tr->Receiver
49840;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#68
49850;COMM;STATE_CHANGE;Receiver->Re/Tr
49860;COMM;STATE_CHANGE;Re/Tr->Receiver
49860;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#69
49870;COMM;STATE_CHANGE;Receiver->Re/Tr
49880;COMM;STATE_CHANGE;Re/Tr->Receiver
49880;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#70
49890;COMM;STATE_CHANGE;Receiver->Re/Tr
49900;COMM;STATE_CHANGE;Re/Tr->Receiver
54800;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#71
54810;COMM;STATE_CHANGE;Receiver->Re/Tr
54820;COMM;STATE_CHANGE;Re/Tr->Receiver
54820;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#72
54830;COMM;STATE_CHANGE;Receiver->Re/Tr
54840;COMM;STATE_CHANGE;Re/Tr->Receiver
54840;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#73
54850;COMM;STATE_CHANGE;Receiver->Re/Tr
54860;COMM;STATE_CHANGE;Re/Tr->Receiver
54860;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#74
54870;COMM;STATE_CHANGE;Receiver->Re/Tr
54880;COMM;STATE_CHANGE;Re/Tr->Receiver
54880;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#75
54890;COMM;STATE_CHANGE;Receiver->Re/Tr
54900;COMM;STATE_CHANGE;Re/Tr->Receiver
54900;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#76
54910;COMM;STATE_CHANGE;Receiver->Re/Tr
54920;COMM;STATE_CHANGE;Re/Tr->Receiver
54920;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#77
54930;COMM;STATE_CHANGE;Receiver->Re/Tr
54940;COMM;STATE_CHANGE;Re/Tr->Receiver
